sample ID, execution time,W 5A probe , W 30A probe
6,  2618,  65.989,  113.886
7,  3142,  67.190,  98.163
8,  3664,  67.229,  103.148
9,  4186,  66.598,  103.895
10,  4709,  65.572,  200.999
11,  5232,  67.639,  469.287
12,  5758,  66.828,  221.249
13,  6280,  68.054,  140.842
14,  6803,  67.894,  227.843
15,  7328,  68.057,  213.837
16,  7851,  68.622,  228.209
17,  8374,  66.174,  206.905
18,  8898,  68.808,  179.865
19,  9421,  65.876,  175.252
20,  9945,  65.521,  101.446
21,  10469,  64.879,  149.156
22,  10993,  65.973,  181.057
23,  11515,  63.862,  147.913
24,  12038,  66.520,  105.177
25,  12561,  67.444,  98.522
26,  13085,  65.394,  100.938
27,  13608,  65.969,  112.153
28,  14131,  67.513,  108.098
29,  14659,  69.426,  113.346
30,  15181,  66.259,  111.461
31,  15703,  65.371,  100.684
32,  16226,  67.362,  98.163
33,  16750,  65.915,  104.318
34,  17273,  65.769,  107.920
35,  17797,  68.137,  97.276
36,  18321,  66.082,  96.822
37,  18845,  64.294,  99.010
38,  19367,  66.135,  109.420
39,  19889,  66.500,  101.987
40,  20412,  62.416,  101.160
41,  20935,  66.823,  97.993
42,  21458,  65.726,  97.967
43,  21981,  65.256,  95.979
44,  22504,  65.073,  102.171
45,  23029,  65.574,  97.770
46,  23554,  65.460,  102.736
47,  24077,  64.337,  97.044
48,  24601,  64.845,  118.421
49,  25125,  65.801,  91.666
50,  25648,  64.954,  94.970
51,  26172,  63.427,  105.226
52,  26696,  66.953,  97.375
53,  27219,  63.764,  99.560
54,  27742,  64.067,  102.329
55,  28268,  67.584,  102.261
56,  28791,  65.199,  90.253
57,  29314,  64.521,  105.146
58,  29837,  65.562,  94.733
59,  30361,  64.801,  103.545
60,  30885,  65.601,  99.786
61,  31408,  64.794,  104.656
62,  31934,  64.052,  92.120
63,  32458,  64.696,  109.427
64,  32981,  65.542,  95.139
65,  33503,  64.678,  98.392
66,  34029,  64.663,  94.545
67,  34552,  65.900,  97.077
68,  35075,  64.782,  98.685
69,  35599,  64.238,  96.689
70,  36123,  65.218,  90.431
71,  36646,  64.429,  97.638
72,  37169,  63.770,  92.015
73,  37693,  64.549,  95.891
74,  38217,  64.446,  102.046
75,  38740,  66.698,  105.054
76,  39262,  65.288,  102.491
77,  39785,  66.889,  94.902
78,  40308,  66.441,  157.956
79,  40833,  64.477,  131.578
80,  41358,  67.147,  97.875
81,  41882,  62.939,  98.750
82,  42405,  64.195,  98.978
83,  42927,  66.854,  100.139
84,  43450,  64.459,  96.547
sample ID, execution time,W 5A probe , W 30A probe
2,  524,  67.300,  100.971
3,  1047,  65.195,  100.811
4,  1571,  66.166,  96.845
5,  2093,  64.002,  94.241
6,  2620,  64.930,  111.722
7,  3145,  63.057,  101.916
8,  3669,  67.545,  98.620
9,  4191,  66.676,  178.279
10,  4714,  64.477,  101.825
11,  5237,  66.528,  96.613
12,  5764,  67.321,  105.146
13,  6287,  62.608,  102.705
14,  6812,  69.550,  388.954
15,  7335,  70.279,  380.814
16,  7859,  65.326,  158.324
17,  8382,  67.778,  142.342
18,  8905,  65.851,  152.453
19,  9430,  67.450,  206.641
20,  9953,  67.483,  136.420
21,  10475,  69.832,  252.546
22,  11001,  69.051,  180.685
23,  11523,  66.060,  185.988
24,  12045,  68.944,  163.033
25,  12568,  66.774,  153.775
26,  13093,  65.760,  137.101
27,  13616,  67.765,  173.779
28,  14140,  67.080,  157.857
29,  14665,  65.495,  111.434
30,  15190,  65.129,  100.715
31,  15713,  67.500,  106.421
32,  16236,  66.069,  104.626
33,  16762,  64.542,  116.990
34,  17285,  65.025,  103.608
35,  17807,  66.697,  107.280
36,  18330,  66.289,  102.517
37,  18854,  64.335,  110.217
38,  19378,  63.520,  89.503
39,  19901,  64.929,  101.857
40,  20424,  64.754,  104.226
41,  20948,  66.034,  105.755
42,  21472,  66.392,  102.767
43,  21995,  63.225,  101.319
44,  22521,  66.628,  104.031
45,  23047,  66.818,  104.595
46,  23570,  66.517,  95.375
47,  24094,  62.989,  102.292
48,  24617,  65.700,  96.236
49,  25139,  66.769,  101.671
50,  25662,  66.127,  98.196
51,  26188,  65.846,  100.140
52,  26711,  63.318,  94.597
53,  27233,  65.321,  104.204
54,  27756,  64.131,  93.710
55,  28282,  63.530,  101.916
56,  28805,  66.022,  100.043
57,  29328,  65.051,  105.024
58,  29853,  66.445,  99.143
59,  30377,  65.486,  107.711
60,  30900,  65.067,  94.018
61,  31423,  64.565,  101.256
62,  31951,  64.519,  101.821
63,  32474,  65.317,  97.144
64,  32998,  64.754,  98.065
65,  33522,  65.981,  93.591
66,  34046,  63.396,  97.671
67,  34570,  66.131,  96.313
68,  35093,  63.256,  96.513
69,  35618,  64.857,  93.076
70,  36142,  65.029,  101.033
71,  36665,  62.273,  101.192
72,  37188,  65.510,  104.041
73,  37711,  63.966,  94.786
74,  38233,  64.138,  99.591
75,  38755,  65.485,  92.343
76,  39278,  64.227,  95.240
77,  39803,  66.333,  95.004
78,  40326,  64.479,  91.279
79,  40851,  67.576,  98.718
80,  41377,  63.871,  99.046
81,  41900,  65.343,  143.623
82,  42422,  66.988,  151.271
83,  42945,  64.616,  98.229
84,  43471,  67.380,  98.136
85,  43994,  65.202,  95.240
86,  44517,  64.187,  93.229
