sample ID, execution time,W 5A probe , W 30A probe
82,  42425,  66.759,  102.867
83,  42948,  67.101,  99.689
84,  43475,  66.502,  96.547
85,  43998,  66.012,  144.403
86,  44521,  68.142,  108.691
87,  45045,  66.695,  120.870
88,  45569,  67.571,  105.968
89,  46092,  66.490,  108.750
90,  46616,  66.836,  105.634
91,  47141,  68.156,  102.574
92,  47664,  68.167,  104.164
93,  48187,  65.491,  105.603
94,  48712,  66.668,  107.545
95,  49236,  67.718,  103.979
96,  49759,  65.323,  104.564
97,  50282,  66.213,  103.017
98,  50806,  67.002,  101.222
99,  51331,  66.205,  99.560
100,  51856,  66.282,  102.954
101,  52380,  65.872,  104.093
102,  52905,  69.290,  102.360
103,  53428,  68.126,  93.710
104,  53951,  67.829,  98.065
105,  54474,  65.815,  95.845
106,  54998,  68.493,  94.121
107,  55521,  65.262,  98.588
108,  56044,  67.440,  104.071
109,  56570,  65.694,  98.332
110,  57093,  66.242,  106.089
111,  57616,  67.502,  109.398
112,  58141,  65.797,  97.448
113,  58665,  68.721,  185.353
114,  59187,  66.297,  127.826
115,  59710,  64.755,  100.523
116,  60237,  65.663,  103.939
117,  60761,  68.395,  104.349
118,  61284,  65.552,  104.810
sample ID, execution time,W 5A probe , W 30A probe
2,  526,  68.139,  101.414
3,  1049,  66.084,  109.280
4,  1574,  67.394,  108.700
5,  2098,  69.438,  234.991
6,  2621,  68.446,  184.467
7,  3144,  67.026,  152.790
8,  3667,  65.973,  199.765
9,  4191,  68.172,  161.159
10,  4714,  68.241,  224.219
11,  5238,  68.857,  149.990
12,  5762,  69.628,  171.628
13,  6286,  67.257,  182.119
14,  6808,  68.352,  424.086
15,  7335,  68.338,  444.096
16,  7859,  69.085,  191.187
17,  8382,  67.362,  180.168
18,  8904,  68.411,  197.867
19,  9428,  68.981,  219.527
20,  9952,  68.457,  234.608
21,  10475,  67.811,  181.199
22,  10998,  68.194,  188.293
23,  11524,  66.463,  181.039
24,  12047,  67.860,  217.707
25,  12570,  67.436,  214.870
26,  13094,  68.372,  158.588
27,  13618,  66.812,  102.485
28,  14141,  65.756,  101.033
29,  14664,  67.016,  109.075
30,  15187,  66.557,  108.098
31,  15711,  66.982,  125.863
32,  16236,  66.394,  102.391
33,  16759,  67.602,  111.088
34,  17285,  65.423,  104.431
35,  17808,  64.503,  112.695
36,  18331,  66.640,  102.046
37,  18855,  66.323,  106.737
38,  19379,  67.928,  104.071
39,  19902,  66.745,  100.683
40,  20425,  67.776,  104.963
41,  20948,  64.797,  112.895
42,  21472,  66.980,  96.280
43,  21995,  66.439,  111.001
44,  22518,  66.361,  102.736
45,  23044,  66.374,  105.073
46,  23567,  66.494,  102.266
47,  24090,  66.897,  104.779
48,  24615,  64.958,  108.662
49,  25139,  68.957,  103.731
50,  25662,  66.115,  106.421
51,  26186,  67.117,  134.427
52,  26710,  67.071,  110.164
53,  27234,  65.312,  103.048
54,  27757,  68.172,  108.602
55,  28280,  71.717,  116.480
56,  28806,  68.084,  110.396
57,  29329,  68.067,  103.328
58,  29852,  65.065,  102.861
59,  30375,  65.516,  95.105
60,  30899,  64.380,  103.948
61,  31422,  67.153,  101.509
62,  31946,  64.331,  114.449
63,  32470,  69.499,  107.366
64,  32994,  66.989,  106.119
65,  33520,  67.303,  105.907
66,  34044,  66.604,  104.554
