
muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,505 ,0.39041,1.95203
2 ,1009 ,0.34308,1.71538
3 ,1513 ,0.30894,1.54472
4 ,2020 ,0.32487,1.62435
5 ,2524 ,0.35854,1.79270
6 ,3028 ,0.39028,1.95140
7 ,3532 ,0.34308,1.71538
8 ,4036 ,0.34771,1.73854
9 ,4540 ,0.36909,1.84545
10 ,5044 ,0.42002,2.10009
11 ,5548 ,0.55193,2.75964
12 ,6052 ,0.43711,2.18554
13 ,6557 ,0.45382,2.26912
14 ,7061 ,0.34386,1.71929
15 ,7566 ,0.35672,1.78362
16 ,8070 ,0.60915,3.04574
17 ,8574 ,0.62073,3.10365
18 ,9078 ,0.51831,2.59154
19 ,9582 ,0.51411,2.57057
20 ,10086 ,0.53991,2.69956
21 ,10590 ,0.65798,3.28990
22 ,11094 ,0.59969,2.99847
23 ,11601 ,0.56795,2.83977
24 ,12105 ,0.57853,2.89267
25 ,12610 ,0.64534,3.22669
26 ,13115 ,0.70728,3.53640
27 ,13619 ,0.65322,3.26611
28 ,14123 ,0.60602,3.03009
29 ,14627 ,0.56370,2.81848
30 ,15131 ,0.51537,2.57683
31 ,15635 ,0.46096,2.30482
32 ,16141 ,0.37908,1.89542
33 ,16645 ,0.36749,1.83746
34 ,17149 ,0.36887,1.84435
35 ,17653 ,0.36123,1.80616
36 ,18157 ,0.36173,1.80866
37 ,18662 ,0.37296,1.86481
38 ,19167 ,0.36172,1.80860
39 ,19671 ,0.36611,1.83057
40 ,20175 ,0.36887,1.84435
41 ,20682 ,0.37094,1.85468
42 ,21186 ,0.36374,1.81868
43 ,21690 ,0.36772,1.83858
44 ,22195 ,0.36298,1.81492
45 ,22699 ,0.36774,1.83871
46 ,23203 ,0.35860,1.79301
47 ,23707 ,0.36217,1.81085
48 ,24212 ,0.36303,1.81516
49 ,24717 ,0.28196,1.40981
50 ,25221 ,0.34414,1.72070
51 ,25725 ,0.32830,1.64151
52 ,26230 ,0.33494,1.67469
53 ,26734 ,0.31972,1.59862
54 ,27238 ,0.33824,1.69118
55 ,27742 ,0.38471,1.92354
56 ,28247 ,0.41513,2.07567
57 ,28751 ,0.40531,2.02653
58 ,29255 ,0.30570,1.52850
59 ,29759 ,0.31969,1.59843
60 ,30267 ,0.28852,1.44260
61 ,30772 ,0.27941,1.39703
62 ,31276 ,0.28335,1.41675
63 ,31780 ,0.25111,1.25555
64 ,32285 ,0.27571,1.37856
65 ,32789 ,0.29420,1.47102
66 ,33294 ,0.26360,1.31800
67 ,33799 ,0.23377,1.16884
68 ,34303 ,0.24829,1.24146
69 ,34807 ,0.23727,1.18637
70 ,35312 ,0.23934,1.19670
71 ,35816 ,0.23175,1.15874
72 ,36322 ,0.23162,1.15811
73 ,36826 ,0.23452,1.17259
74 ,37330 ,0.23608,1.18042
75 ,37835 ,0.23446,1.17228
76 ,38339 ,0.24979,1.24897
77 ,38843 ,0.25042,1.25211
78 ,39351 ,0.25292,1.26460
79 ,39856 ,0.25875,1.29373
80 ,40360 ,0.23101,1.15506
81 ,40865 ,0.22832,1.14160
82 ,41369 ,0.23114,1.15569
83 ,41873 ,0.23756,1.18778
84 ,42378 ,0.23320,1.16602
85 ,42882 ,0.24197,1.20984
86 ,43386 ,0.23314,1.16571
87 ,43890 ,0.22996,1.14981
88 ,44394 ,0.23756,1.18778
89 ,44899 ,0.51137,2.55684
90 ,45404 ,0.51198,2.55992
91 ,45908 ,0.44882,2.24408
92 ,46412 ,0.38577,1.92886

muestra, tiempo ejecucion, sonda extra , sonda dut
1 ,505 ,0.33012,1.65058
2 ,1012 ,0.34910,1.74552
3 ,1516 ,0.28542,1.42708
4 ,2020 ,0.37757,1.88786
5 ,2525 ,0.33605,1.68025
6 ,3029 ,0.27671,1.38357
7 ,3533 ,0.31209,1.56043
8 ,4037 ,0.32642,1.63211
9 ,4541 ,0.27346,1.36729
10 ,5045 ,0.53323,2.66614
11 ,5550 ,0.48282,2.41412
12 ,6054 ,0.42540,2.12701
13 ,6558 ,0.38076,1.90382
14 ,7063 ,0.30683,1.53414
15 ,7568 ,0.48214,2.41069
16 ,8072 ,0.67276,3.36379
17 ,8576 ,0.54830,2.74148
18 ,9080 ,0.53214,2.66072
19 ,9584 ,0.51912,2.59561
20 ,10088 ,0.66418,3.32089
21 ,10592 ,0.64028,3.20140
22 ,11100 ,0.59875,2.99373
23 ,11604 ,0.57396,2.86982
24 ,12108 ,0.49940,2.49701
25 ,12612 ,0.67182,3.35908
26 ,13116 ,0.66537,3.32684
27 ,13620 ,0.62367,3.11833
28 ,14124 ,0.57722,2.88610
29 ,14628 ,0.55762,2.78812
30 ,15132 ,0.45777,2.28884
31 ,15636 ,0.46447,2.32234
32 ,16141 ,0.47508,2.37540
33 ,16646 ,0.46321,2.31607
34 ,17150 ,0.40462,2.02308
35 ,17654 ,0.36549,1.82744
36 ,18158 ,0.36824,1.84121
37 ,18662 ,0.36430,1.82150
38 ,19167 ,0.38558,1.92789
39 ,19672 ,0.36928,1.84639
40 ,20179 ,0.38515,1.92573
41 ,20683 ,0.39742,1.98709
42 ,21187 ,0.37676,1.88379
43 ,21691 ,0.36680,1.83402
44 ,22196 ,0.36309,1.81547
45 ,22700 ,0.37181,1.85906
46 ,23204 ,0.37381,1.86907
47 ,23708 ,0.37494,1.87471
48 ,24212 ,0.34646,1.73228
49 ,24717 ,0.34205,1.71023
50 ,25222 ,0.31113,1.55565
51 ,25726 ,0.30032,1.50158
52 ,26230 ,0.31703,1.58516
53 ,26735 ,0.29838,1.49188
54 ,27239 ,0.31252,1.56262
55 ,27743 ,0.35641,1.78206
56 ,28249 ,0.30613,1.53067
57 ,28753 ,0.32617,1.63086
58 ,29260 ,0.30464,1.52318
59 ,29764 ,0.33619,1.68095
60 ,30268 ,0.33318,1.66592
61 ,30772 ,0.28615,1.43074
62 ,31277 ,0.25236,1.26181
63 ,31781 ,0.23640,1.18198
64 ,32285 ,0.30226,1.51129
65 ,32790 ,0.33826,1.69128
66 ,33295 ,0.25286,1.26429
67 ,33799 ,0.24336,1.21682
68 ,34304 ,0.23439,1.17197
69 ,34808 ,0.23615,1.18073
70 ,35313 ,0.23865,1.19325
71 ,35817 ,0.25111,1.25555
72 ,36321 ,0.25386,1.26928
73 ,36827 ,0.23493,1.17466
74 ,37331 ,0.23414,1.17072
75 ,37836 ,0.25017,1.25085
76 ,38343 ,0.23414,1.17072
77 ,38847 ,0.26175,1.30876
78 ,39351 ,0.25342,1.26710
79 ,39857 ,0.23356,1.16779
80 ,40361 ,0.26219,1.31095
81 ,40865 ,0.23903,1.19513
82 ,41370 ,0.23884,1.19419
83 ,41874 ,0.23896,1.19482
84 ,42379 ,0.23624,1.18122
85 ,42884 ,0.23468,1.17341
86 ,43388 ,0.32160,1.60801
87 ,43893 ,0.49740,2.48699
88 ,44398 ,0.44260,2.21301
89 ,44902 ,0.38152,1.90758
90 ,45406 ,0.39351,1.96755
